id,title,date,notes,physicalDescription,object_type,topic,hue,saturation,lightness,vibrant,muted,darkVibrant,darkMuted,lightVibrant,material_1_x,image,material,recordLink,record_urls,addl_urls
ld1-1643407100205-1643407147245-0,"Decorated Object, Ivory",1930s,"Illustrated in Fitzhugh, William W., Julie Hollowell, and Aron L. Crowell. 2009. Gifts from the Ancient Ancestors: Ancient Ivories of Bering Strait. Yale University Press, New Haven and London, CT. Fig. 12f, p 171. Identified there as a walrus ivory hunting hat ornament in the form of a toothy predator, Old Bering Sea II.",11.5 cm,Hat Ornament,Archaeology,48.75,96.0,49.02,#f5c805,#639a5f,#895d34,#413834,#f96379,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c4d5758ebaa04a8d8cd8374890ae6ee1/640,Embellishments and Adhesives,http://n2t.net/ark:/65665/30ff80b1a-dedf-45bd-9342-0fb0e2d928ab,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m336dad9ca3356405c96198978c3d6bd79/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36413599a2e6a40f69edfdc468b6a3477/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3d246545a61e4430eb918020154fa2c6d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c4d5758ebaa04a8d8cd8374890ae6ee1/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m336dad9ca3356405c96198978c3d6bd79/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36413599a2e6a40f69edfdc468b6a3477/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3d246545a61e4430eb918020154fa2c6d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3c4d5758ebaa04a8d8cd8374890ae6ee1/640']"
ld1-1643406825086-1643406845418-0,Baby Cap,1930s,21 Apr 2015,,Hats,Anthropology,17.94,85.0,52.94,#ed5e21,#997b66,#a60c14,#4f3e50,#fc9c40,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m31c22baff03e046d5986e5c60effc76ca/640,Painted Finishes,http://n2t.net/ark:/65665/3238e7ef7-8a8d-489f-8505-3794fa1aa2dd,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33509ff1dd1544a72a8e74e432a2dadd1/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37080db6249c34103a904727519929fc2/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36b7f9ba579ed4b2f803944dbaaea59ec/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a1454f7d2b3945a096cf162fd2cc7b64/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m31c22baff03e046d5986e5c60effc76ca/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37ab9f2214eba451098ad8ee66784247d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e4bc4bd618b9404f889b98bb9b67e757/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m30fbf9e026b6744e78e9f2a35122c09c2/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3da2b6d09aa4448f08a1c55df3513e14a/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m33509ff1dd1544a72a8e74e432a2dadd1/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37080db6249c34103a904727519929fc2/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36b7f9ba579ed4b2f803944dbaaea59ec/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3a1454f7d2b3945a096cf162fd2cc7b64/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m31c22baff03e046d5986e5c60effc76ca/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37ab9f2214eba451098ad8ee66784247d/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e4bc4bd618b9404f889b98bb9b67e757/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m30fbf9e026b6744e78e9f2a35122c09c2/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3da2b6d09aa4448f08a1c55df3513e14a/640']"
ld1-1643399134763-1643399189381-0,"Fire Helmet, ""John Stagg, Chief Engineer, P.F.D.""",1900s,"The traditional American Leather & Animal firefighter’s helmet with its distinctive long rear brim, frontpiece, and crest adornment was first developed around 1821-1836 in New York City. Henry T. Gratacap, a New York City luggage maker by trade, is often credited as the developer of this style of fire helmet. Gratacap created a specially treated Leather & Animal helmet with a segmented “comb” design that led to unparalleled durability and strength. The elongated rear brim (also known as a duckbill or beavertail) and frontpiece were 19th century innovations that remain the most identifiable feature of firefighter’s helmets. The body of the helmet was primarily designed to deflect falling debris, the rear brim prevented water from running down firefighters’ backs, and their sturdy crowns could aid, if necessary, in breaking windows.",Leather & Animal (overall material),Fire hats,Fire Helmets,41.25,77.11,67.45,#ecc46c,#9e835b,#7c5132,#685d50,#dcb56b,Leather,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05356,Leather & Animal,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05356.jpg
ld1-1643406825086-1643406854181-0,Winter Cap Boy's,1880s,2 Apr 2021,,Hats,Anthropology,43.82,84.3,52.55,#ecb520,#9b845e,#7a5c0a,#5e4632,#97d597,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m361db90ca93674199850282bf0885b8ac/640,Natural Fibers and Straw,http://n2t.net/ark:/65665/338fae679-cc65-4960-a1c5-d8c0733868ce,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3232b5817660d4bfe8142cdca7c6b3d3c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m326382b986d5b4f598d21893e611d5683/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e471d887ccf8475a8f29863c2c05d15c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m361db90ca93674199850282bf0885b8ac/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m318b018072e194f5d8664200f119925ec/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m351ad3a48980d46b2baf3754e774230a9/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3232b5817660d4bfe8142cdca7c6b3d3c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m326382b986d5b4f598d21893e611d5683/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e471d887ccf8475a8f29863c2c05d15c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m361db90ca93674199850282bf0885b8ac/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m318b018072e194f5d8664200f119925ec/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m351ad3a48980d46b2baf3754e774230a9/640']"
ld1-1643399134763-1643399189371-0,"Fire Helmet, ""Washington / 4""",1820s,"The traditional American Leather & Animal firefighter’s helmet with its distinctive long rear brim, frontpiece, and crest adornment was first developed around 1821-1836 in New York City. Henry T. Gratacap, a New York City luggage maker by trade, is often credited as the developer of this style of fire helmet. Gratacap created a specially treated Leather & Animal helmet with a segmented “comb” design that led to unparalleled durability and strength. The elongated rear brim (also known as a duckbill or beavertail) and frontpiece were 19th century innovations that remain the most identifiable feature of firefighter’s helmets. The body of the helmet was primarily designed to deflect falling debris, the rear brim prevented water from running down firefighters’ backs, and their sturdy crowns could aid, if necessary, in breaking windows.",Leather & Animal (overall material),Fire hats,Fire Helmets,36.67,79.12,64.31,#ecb45c,#af6f51,#7d471b,#594438,#fcebe3,Leather,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05319,Leather & Animal,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05319.jpg
ld1-1643399134763-1643399189311-0,"Fire Helmet, ""Denver Hook & Ladder No.1""",1840s,"The traditional American Leather & Animal firefighter’s helmet with its distinctive long rear brim, frontpiece, and crest adornment was first developed around 1821-1836 in New York City. Henry T. Gratacap, a New York City luggage maker by trade, is often credited as the developer of this style of fire helmet. Gratacap created a specially treated Leather & Animal helmet with a segmented “comb” design that led to unparalleled durability and strength. The elongated rear brim (also known as a duckbill or beavertail) and frontpiece were 19th century innovations that remain the most identifiable feature of firefighter’s helmets. The body of the helmet was primarily designed to deflect falling debris, the rear brim prevented water from running down firefighters’ backs, and their sturdy crowns could aid, if necessary, in breaking windows.",Leather & Animal (overall material),Fire hats,Fire Helmets,31.76,78.16,65.88,#ecac64,#998066,#462d1c,#49413a,#fcf4ec,Leather,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05085,Leather & Animal,,,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2008q05085.jpg
ld1-1726224333315-1726224336224-0,Pink and white flower hat,1960s,A dome-shaped hat with pink and white synthetic flowers covering the entire exterior. The flowers are attached to a light pink synthetic knit material. The interior of the hat is unlined and there is no brand label. There is a surged seam that bisects the interior center of the hat.,"filament yarn, plastic, polyester, adhesive, and elastic",Hats,Millinery,356.25,77.11,67.45,#ec6c74,#ae5d53,#601b17,#5f4c41,#fca4ac,Embellishments and Adhesives,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_556_001,Embellishments and Adhesives,https://nmaahc.si.edu/object/nmaahc_2007.3.556,,https://ids.si.edu/ids/deliveryService?id=NMAAHC-2007_3_556_001.jpg
ld1-1643406825086-1643406856908-0,"Hat Band, Feathered",1960s,12 Mar 2018,,Hatbands,Anthropology,44.47,80.19,58.43,#eabe40,#6ca4ac,#306082,#4c3b29,#f2676b,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38545392e46294479b4ce8ded6b56af6a/640,Natural Fibers and Straw,http://n2t.net/ark:/65665/37108751b-6a92-4668-be07-7c0b0eb535bb,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b311732648b14d789e30a3a0b4418175/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38545392e46294479b4ce8ded6b56af6a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38c3754b78f9346fb864bb3cfa1d3063a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39b8ed7d82c7247fb9b87de302b1ba519/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3b311732648b14d789e30a3a0b4418175/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38545392e46294479b4ce8ded6b56af6a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38c3754b78f9346fb864bb3cfa1d3063a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m39b8ed7d82c7247fb9b87de302b1ba519/640']"
ld1-1643406825086-1643406836297-0,Hat-Shaped Basket,1910s,30 Jul 2020,,Hats,Anthropology,347.19,80.18,56.47,#e9375d,#a45d52,#770d23,#313350,#85d4fc,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bb1cb5c78b79448eae7d311a66a2bfbf/640,Natural Fibers and Straw,http://n2t.net/ark:/65665/38b6bf6b8-4f51-4fbb-831b-5160381945d6,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m314820c1676194024aab2774397dcf49c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38561267c46c54926b414df7955a01def/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m35461565afb73400898fe9080b74eca3f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bb1cb5c78b79448eae7d311a66a2bfbf/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m330858853501a414fb78d5a1f77ada558/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m314820c1676194024aab2774397dcf49c/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38561267c46c54926b414df7955a01def/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m35461565afb73400898fe9080b74eca3f/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3bb1cb5c78b79448eae7d311a66a2bfbf/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m330858853501a414fb78d5a1f77ada558/640']"
ld1-1643406825086-1643406871851-0,Cap,1990s,"ELLIPTICAL SHAPE BLACK CLOTH CAP WITH RED CLOTH EDGING, LINED WITH LIGHT COLOR CLOTH OVER CARDBOARD STIFFENERS: DECORATED WITH METAL SEQUINS AND LAZY STITCH AND OVERLAY STITCH BEADWORK DEPICTING BIRDS AND FLOWERS; SOME OF THE LAZY STITCH FIGURES ARE DONE OVER PAPER PATTERNS TO ACHIEVE A RAISED LOOK; BEAD COLORS: BLUES, GREENS, REDS, PINKS, YELLOWS, WHITE, CLEAR; BOTH PONY AND SEED BEADS ARE USED; BEADWORK IS OUTLINED WITH LINES OF BRASS WIRE DECORATED BROCADE. CAP IS WORN AND FRAGILE, SOME BEADS ARE MISSING OR LOOSE. MISS A. LOVELACE, ASSISTANT KEEPER, DEPT. OF ARCHAEOLOGY, ETHNOGRAPHY AND HISTORY, GLASGOW ART GALLERY AND MUSEUM, IDENTIFIES THIS CAP AS MODELLED ON THE HIGHLANDER'S GLENGARRY CAPS/BONNETS AND MADE AND WORN BY IROQUOIS WOMEN, 1840-1870. - 2-25-1987.",30 cm,Hats,Anthropology,49.17,81.67,50.78,#e8c31b,#8e745f,#5b241e,#624934,#8cd4c4,,https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38df4c9fe1f2b41e19b8c1e0fea2b29f2/640,Synthetic Materials,http://n2t.net/ark:/65665/3b8a46556-3359-4aa3-a781-611ff3d2e957,"['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38df4c9fe1f2b41e19b8c1e0fea2b29f2/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36a40860d0404421898471cb95d20dbe6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f6ead601650b4d56bb12ec62d51d094a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37438831c0d2045aa9a752d9439dfe2d9/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36891a70e66e948c99cda2933c06c32a1/640']","['https://ids.si.edu/ids/deliveryService/id/ark:/65665/m38df4c9fe1f2b41e19b8c1e0fea2b29f2/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36a40860d0404421898471cb95d20dbe6/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3f6ead601650b4d56bb12ec62d51d094a/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m37438831c0d2045aa9a752d9439dfe2d9/640', 'https://ids.si.edu/ids/deliveryService/id/ark:/65665/m36891a70e66e948c99cda2933c06c32a1/640']"
